,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'PPA', 'PGCD', 'NDPK6'}",4,0.20574013513202583,0.010563345343176378,0.0,0.2286
1,"{'RNDR4', 'G6PDH2r', 'TALA', 'DCTPD'}",4,0.20574122317957075,0.010563345341819672,0.0,0.2285999999999999
2,"{'RNDR4', 'AGDC', 'VPAMTr', 'DCTPD'}",4,0.20574092484116133,0.010563345343176378,0.0,0.22860000000000025
3,"{'RNDR4', 'DMPPS_syn', 'FNOR', 'DCTPD'}",4,0.2057410048675566,0.010563345343176378,0.0,0.22860000000000003
4,"{'RNDR4', 'GTHS', 'PSP_L', 'NDPK6'}",4,0.2057405832657201,0.010563345343176378,0.0,0.2286000000001377
5,"{'RNDR4', 'NDPK6', 'AGDC', 'VALTA'}",4,0.20574013513292527,0.010563345343176378,0.0,0.2286000000001377
6,"{'RNDR4', 'PGCD', 'ACM6PH', 'DCTPD'}",4,0.20574095081565205,0.010563345341819672,0.0,0.22860000000014327
7,"{'RNDR4', 'NDPK6', 'TALA', 'AMPTASECG'}",4,0.20574000000000003,0.010563345343176378,0.0,0.22860000000048902
8,"{'RNDR4', 'PPA', 'PYK', 'DCTPD'}",4,0.2057405579225573,0.010563345343176378,0.0,0.22860000000053282
9,"{'RNDR4', 'DMPPS_syn', 'AGDC', 'NDPK6'}",4,0.20574217677678716,0.010563345341819672,0.0,0.22860000000000497
