Strategy,Flux,Biomass,N_of_deletions,C_limit
"['RNDR4', 'NDPK6', 'PGL']",0.2057415007746191,0.0105633453431763,3,12
"['RNDR4', 'TRPS1', 'NDPK6']",0.205740422783805,0.0105633453431763,3,12
"['RNDR4', 'NDPK6', 'IPDDI']",0.2057413201109879,0.0105633453418196,3,12
"['RNDR4', 'PEPC', 'DCTPD']",0.2057410631162439,0.0105633453431763,3,12
"['RNDR4', 'NDPK6', 'FBA']",0.2057409974728475,0.0105633453406387,3,12
"['RNDR4', 'NDPK6', 'FBA3']",0.205740681186502,0.0105633453418196,3,12
"['RNDR4', 'NDPK6', 'GLUSfx']",0.2057409286070181,0.0105633453431763,3,12
"['RNDR4', 'NADTRHD', 'DCTPD']",0.2057419463231469,0.0105633453431763,3,12
"['ANS', 'NDPK6', 'RNDR4']",0.2057419463236023,0.0105633453418196,3,12
"['RNDR4', 'PGL', 'DCTPD']",0.2057409573822912,0.0105633453431763,3,12
"['RNDR4', 'PGCD', 'DCTPD']",0.2057400540553157,0.0105633453431763,3,12
"['RNDR4', 'FNOR', 'DCTPD']",0.2057405038627702,0.0105633453431763,3,12
"['RNDR4', 'GTHS', 'DCTPD']",0.2057401351314449,0.0105633453431763,3,12
"['RNDR4', 'NADTRHD', 'DCTPD']",0.205740965695847,0.0105633453418196,3,12
"['RNDR4', 'PYK', 'DCTPD']",0.2057410108095303,0.0105633453418196,3,12
"['RNDR4', 'PGL', 'DCTPD']",0.2057405969662651,0.0105633453406387,3,12
"['RNDR4', 'PSP_L', 'DCTPD']",0.2057401351315952,0.0105633453431763,3,12
"['RNDR4', 'FBA3', 'DCTPD']",0.2057400000001558,0.0105633453431763,3,12
"['RNDR4', 'FBA', 'DCTPD']",0.2057409656958293,0.0105633453418196,3,12
"['RNDR4', 'DMPPS_syn', 'DCTPD']",0.2057405038630164,0.0105633453431763,3,12
"['RNDR4', 'DCTPD']",0.2057405832686251,0.0105633453431763,2,12
"['RNDR4', 'PPKr', 'DCTPD']",0.2057412756869471,0.0105633453431763,3,12
"['RNDR4', 'PGCD', 'DCTPD']",0.20574087455508,0.0105633453418196,3,12
"['RNDR4', 'G6PDH2r', 'DCTPD']",0.2057411001911586,0.0105633453431763,3,12
"['RNDR4', 'PYK', 'DCTPD']",0.2057405429998648,0.0105633452973067,3,12
"['RNDR4', 'FBP', 'DCTPD']",0.2057402282276131,0.0105633453418196,3,12
"['RNDR4', 'ACM6PH', 'DCTPD']",0.2057418192263199,0.0105633453406387,3,12
"['RNDR4', 'VPAMTr', 'DCTPD']",0.2057409248422358,0.0105633453418196,3,12
"['RNDR4', 'GLCS3', 'DCTPD']",0.205741379540146,0.0105633453431763,3,12
"['RNDR4', 'GLUSfx', 'DCTPD']",0.2057405832713292,0.0105633453418196,3,12
"['RNDR4', 'DCTPD', 'SPTr', 'MDDCP2pp']",0.2057416305936593,0.0105633453418196,4,12
"['RNDR4', 'DMPPS_syn', 'NADTRHD', 'DCTPD']",0.2057411393711076,0.0105633453418196,4,12
"['RNDR4', 'GLYCK', 'AMPTASECG', 'DCTPD']",0.2057411050063215,0.0105633453431763,4,12
"['RNDR4', 'CAT', 'G6PDH2r', 'DCTPD']",0.205741073170412,0.0105633453431763,4,12
"['RNDR4', 'GLYDHDA', 'ACM6PH', 'DCTPD']",0.2057409248414528,0.0105633453431763,4,12
"['RNDR4', 'DCTPD', 'GLUSfx', 'GAPD']",0.2057413571870155,0.0105633453431763,4,12
"['RNDR4', 'ACGAMK', 'PGCD', 'DCTPD']",0.2057413571931132,0.0105633453431763,4,12
"['RNDR4', 'OPAH', 'PPKr', 'DCTPD']",0.2057413083728045,0.0105633453418196,4,12
"['RNDR4', 'FBA', 'AGDC', 'DCTPD']",0.2057408114910246,0.0105633453431763,4,12
"['RNDR4', 'G6PDH2r', 'FNOR', 'DCTPD']",0.2057412029960111,0.0105633453431763,4,12
"['RNDR4', 'PPA', 'PGCD', 'NDPK6']",0.2057401351320258,0.0105633453431763,4,12
"['RNDR4', 'G6PDH2r', 'TALA', 'DCTPD']",0.2057412231795707,0.0105633453418196,4,12
"['RNDR4', 'AGDC', 'VPAMTr', 'DCTPD']",0.2057409248411613,0.0105633453431763,4,12
"['RNDR4', 'DMPPS_syn', 'FNOR', 'DCTPD']",0.2057410048675566,0.0105633453431763,4,12
"['RNDR4', 'GTHS', 'PSP_L', 'NDPK6']",0.2057405832657201,0.0105633453431763,4,12
"['RNDR4', 'NDPK6', 'AGDC', 'VALTA']",0.2057401351329252,0.0105633453431763,4,12
"['RNDR4', 'PGCD', 'ACM6PH', 'DCTPD']",0.205740950815652,0.0105633453418196,4,12
"['RNDR4', 'NDPK6', 'TALA', 'AMPTASECG']",0.20574,0.0105633453431763,4,12
"['RNDR4', 'PPA', 'PYK', 'DCTPD']",0.2057405579225573,0.0105633453431763,4,12
