,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling
PHOA690um,31.749476,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,968.250524,False
PSIICSum,22.840346,941.320969,941.14566,940.963809,940.770533,940.577256,940.383979,940.190703,939.999679,939.812767,916.972421,False
PSIum,28.574528,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,871.425472,False
PSICSum,28.574528,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,871.425472,False
ETAPCPSII,20.700419,885.60102,885.416485,885.225063,885.021613,884.818164,884.614715,884.411266,884.210188,884.013439,863.3130199999999,False
PHOA670um,20.700419,885.60102,885.416485,885.225063,885.021613,884.818164,884.614715,884.411266,884.210188,884.013439,863.3130199999999,False
ETCPC,20.700419,885.60102,885.416485,885.225063,885.021613,884.818164,884.614715,884.411266,884.210188,884.013439,863.3130199999999,False
CBFCum,14.287264,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,435.712736,False
FNOR,8.39644,439.660514,439.743283,439.822175,439.894299,439.966422,440.038545,440.110668,440.280104,440.627212,432.230772,True
NDPK1,1.689787,404.12621,404.381905,404.632164,404.872932,405.1137,405.354468,405.595236,405.852222,406.138821,404.449034,True
O2tu,5.710087,223.534847,223.481453,223.426596,223.369187,223.311779,223.25437,223.196961,223.139552,223.082144,217.372057,False
PSIIum,5.710087,223.534847,223.481453,223.426596,223.369187,223.311779,223.25437,223.196961,223.139552,223.082144,217.372057,False
MEHLER,0.231557,215.648417,215.474624,215.298371,215.117823,214.937275,214.756728,214.57618,214.444288,214.401232,214.16967499999998,False
ATPSum,6.808832,207.922537,207.931353,207.940393,207.949825,207.959258,207.968691,207.978123,207.987556,207.996988,201.188156,True
PSIICRum,0.0,47.181579,47.21985,47.257425,47.293783,47.330141,47.3665,47.402858,47.441469,47.484193,47.484193,True
SPODM,0.142873,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.357127,False
CAT,0.073618,2.251966,2.25175,2.251535,2.251319,2.251103,2.250887,2.250671,2.250456,2.25024,2.1766219999999996,False
ACCOAC,0.259843,0.431718,0.603593,0.775467,0.947342,1.119217,1.291092,1.462967,1.634841,1.806716,1.546873,True
MCOATA,0.259843,0.431718,0.603593,0.775467,0.947342,1.119217,1.291092,1.462967,1.634841,1.806716,1.546873,True
PKETX,0.304603,0.47129,0.637978,0.804665,0.971353,1.138041,1.304728,1.471416,1.638103,1.804791,1.500188,True
ACS,0.58006,0.744962,0.909864,1.074765,1.239667,1.404569,1.56947,1.734372,1.899274,2.064175,1.484115,True
ADK1,0.735518,0.885045,1.034571,1.184098,1.333625,1.483151,1.632678,1.782205,1.931732,2.081258,1.3457400000000002,True
NDH-1(4)um,2.841806,2.951199,3.060591,3.172907,3.290327,3.407746,3.525166,3.642586,3.760005,3.877425,1.035619,True
SBP,3.090365,3.178351,3.266336,3.35629,3.449682,3.543073,3.636464,3.729855,3.823246,3.916638,0.826273,True
H2Otex,0.596581,0.760005,0.836279,0.912552,0.988824,1.065095,1.141367,1.217639,1.269583,1.277108,0.6805269999999999,True
H2Otpp,0.605863,0.76837,0.843725,0.91908,0.994434,1.069788,1.145141,1.220495,1.271521,1.278129,0.672266,True
NGAM_D1um,0.002284,0.56123,0.561591,0.561945,0.562286,0.562626,0.562967,0.563307,0.563671,0.564075,0.561791,True
PGK,7.426757,7.479495,7.532233,7.589892,7.656144,7.722395,7.788647,7.854899,7.92115,7.987402,0.5606450000000001,True
