,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling,regulation_type
PHOA670um,58.361922,58.361922,58.361922,58.361922,810.342954,815.080853,819.818752,824.556651,1000.0,1000.0,941.638078,False,U
ETCPC,58.361922,58.361922,58.361922,58.361922,810.342954,815.080853,819.818752,824.556651,1000.0,1000.0,941.638078,False,U
ETAPCPSII,58.361922,58.361922,58.361922,58.361922,810.342954,815.080853,819.818752,824.556651,1000.0,1000.0,941.638078,False,U
PSIICSum,66.700795,66.700795,66.700795,66.700795,869.825807,874.326811,878.827815,883.328819,1000.0,1000.0,933.299205,False,U
PHOA690um,112.569693,112.569693,112.569693,112.569693,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,887.430307,False,U
PSICSum,101.312724,101.312724,101.312724,101.312724,900.0,900.0,900.0,900.0,945.0,945.0,843.687276,False,U
PSIum,101.312724,101.312724,101.312724,101.312724,900.0,900.0,900.0,900.0,945.0,945.0,843.687276,False,U
ADK1,2.940833,2.940833,2.940833,2.940833,476.094471,484.225357,492.590534,500.692011,545.949712,547.444766,544.503933,False,U
FACOAL1831i,0.0,0.0,0.0,0.0,473.037503,481.048438,489.293665,497.275191,542.372483,543.766751,543.766751,False,U
FACOAE183,0.0,0.0,0.0,0.0,473.037503,481.048438,489.293665,497.275191,542.372483,543.766751,543.766751,False,U
FNOR,28.127175,28.051375,27.975575,27.899775,424.699245,427.889903,431.504598,435.119293,461.811491,461.679803,433.55262799999997,False,U
CBFCum,50.656362,50.656362,50.656362,50.656362,450.0,450.0,450.0,450.0,472.5,472.5,421.843638,False,U
O2tu,16.675199,16.675199,16.675199,16.675199,217.456452,218.581703,219.706954,220.832205,250.0,250.0,233.324801,False,U
PSIIum,16.675199,16.675199,16.675199,16.675199,217.456452,218.581703,219.706954,220.832205,250.0,250.0,233.324801,False,U
MEHLER,8.948026,8.910126,8.872226,8.834326,206.899825,208.149939,209.612072,211.074205,224.083892,223.654308,214.706282,False,U
ATPSum,24.705551,24.705551,24.705551,24.705551,208.857446,208.685273,208.513101,208.340928,223.447495,223.495586,198.790035,False,U
NDPK1,4.855923,4.855923,4.855923,4.855923,62.673611,62.990131,63.306651,63.623171,72.015944,72.008392,67.152469,False,U
STCHLPSIum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,False,U
NGAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.198647,16.300915,16.300915,False,U
Htcx,-17.823111,-17.823111,-17.823111,-17.823111,-15.385546,-12.867913,-10.350279,-7.832645,-4.12958,-4.106576,13.716535,False,D
PGI,-13.252543,-13.252543,-13.252543,-13.252543,-10.895746,-8.461534,-6.027323,-3.593111,-0.002809,-0.001479,13.251064,False,D
FBA,-14.803796,-14.803796,-14.803796,-14.803796,-12.507004,-10.134768,-7.762533,-5.390297,-1.856103,-1.929098,12.874698,False,D
TPI,-16.283666,-16.283666,-16.283666,-16.283666,-14.056642,-11.756465,-9.456288,-7.156112,-3.688109,-3.845513,12.438153,False,D
SPODM,0.506564,0.506564,0.506564,0.506564,4.5,4.5,4.5,4.5,4.725,4.725,4.218436,False,U
CAT,0.262251,0.262251,0.262251,0.262251,2.257742,2.256475,2.255208,2.253942,2.365175,2.363908,2.101657,False,U
ACCOAC,1.316961,1.316961,1.316961,1.316961,1.597592,1.88744,2.177289,2.467137,2.756986,3.046834,1.729873,False,U
MCOATA,1.316961,1.316961,1.316961,1.316961,1.597592,1.88744,2.177289,2.467137,2.756986,3.046834,1.729873,False,U
PKETX,0.0,0.0,0.0,0.0,0.272161,0.553262,0.834363,1.115463,1.396564,1.677665,1.677665,False,U
NADTRHD,-1.229029,-1.229029,-1.229029,-1.229029,-1.060942,-0.887333,-0.713725,-0.540116,-0.363263,-0.229471,0.999558,False,D
ACS,2.75728,2.75728,2.75728,2.75728,2.898519,3.044397,3.190276,3.336155,3.522492,3.649206,0.8919259999999998,False,U
RPE,-2.991623,-2.991623,-2.991623,-2.991623,-2.854637,-2.713151,-2.571665,-2.430179,-2.276956,-2.160169,0.8314540000000004,False,D
PGAMT,-0.942944,-0.942944,-0.942944,-0.942944,-0.813983,-0.680786,-0.547589,-0.414391,-0.321653,-0.169291,0.773653,False,D
O2tex,-7.04242,-7.00452,-6.96662,-6.92872,-7.563006,-7.353099,-6.931173,-6.509248,-6.282903,-6.500475,0.5419450000000001,False,D
O2tpp,-7.04242,-7.00452,-6.96662,-6.92872,-7.563006,-7.353099,-6.931173,-6.509248,-6.282903,-6.500475,0.5419450000000001,False,D
RPI,1.412848,1.412848,1.412848,1.412848,1.491782,1.573308,1.654835,1.736361,1.81202,1.905896,0.49304799999999993,False,U
SBP,1.475424,1.475424,1.475424,1.475424,1.545799,1.618487,1.691174,1.763861,1.83068,1.915717,0.4402929999999998,False,U
DES_15,0.0379,0.0758,0.1137,0.1516,0.1895,0.2274,0.2653,0.3032,0.3411,0.379,0.3411,True,U
DES_12,0.0379,0.0758,0.1137,0.1516,0.1895,0.2274,0.2653,0.3032,0.3411,0.379,0.3411,True,U
ALAtex2,0.0379,0.0758,0.1137,0.1516,0.1895,0.2274,0.2653,0.3032,0.3411,0.379,0.3411,True,U
FA183ACPHi,0.0379,0.0758,0.1137,0.1516,0.1895,0.2274,0.2653,0.3032,0.3411,0.379,0.3411,True,U
ALAtex1,0.0379,0.0758,0.1137,0.1516,0.1895,0.2274,0.2653,0.3032,0.3411,0.379,0.3411,True,U
EX_ALA_e,0.03789999,0.07579998,0.11369997000000001,0.15159996,0.18949995,0.22739994000000002,0.26529992999999996,0.30319992,0.34109991,0.3789999,0.34109991,True,U
SPTr,-0.295957,-0.295957,-0.295957,-0.295957,-0.255481,-0.213675,-0.171869,-0.130063,-0.07652,-0.059413,0.23654400000000003,False,D
DESAT18a,0.153803,0.153803,0.153803,0.153803,0.190362,0.228121,0.26588,0.303639,0.341398,0.379157,0.22535400000000003,False,U
3HAD180,0.157551,0.157551,0.157551,0.157551,0.193597,0.230826,0.268056,0.305286,0.342515,0.379745,0.222194,False,U
EAR180y,0.157551,0.157551,0.157551,0.157551,0.193597,0.230826,0.268056,0.305286,0.342515,0.379745,0.222194,False,U
3OAS180,0.157551,0.157551,0.157551,0.157551,0.193597,0.230826,0.268056,0.305286,0.342515,0.379745,0.222194,False,U
3OAR180,0.157551,0.157551,0.157551,0.157551,0.193597,0.230826,0.268056,0.305286,0.342515,0.379745,0.222194,False,U
3HAD160,0.161838,0.161838,0.161838,0.161838,0.197297,0.233921,0.270545,0.307169,0.343793,0.380418,0.21857999999999997,False,U
EAR160y,0.161838,0.161838,0.161838,0.161838,0.197297,0.233921,0.270545,0.307169,0.343793,0.380418,0.21857999999999997,False,U
EAR120y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3HAD120,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3HAD80,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR140,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR100,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR160,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
EAR80y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
EAR140y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
EAR40y,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
3OAR120,0.16563,0.16563,0.16563,0.16563,0.200571,0.236659,0.272748,0.308836,0.344924,0.381013,0.215383,False,U
